"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","PPCC_test","wilcoxon_pvalue"
"60","Di-N-Octyl Phthalate water  (ug/L)","C",88.8,632,71,561,0.018,3.19,0.018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.980691339890363
"61","Diazinon sediment  (ug/Kg)","C",98.1,52,1,51,17,17,0.1,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438578026081
"62","Diazinon water  (ug/L)","C",99.1,644,6,638,0.026,0.53,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805264924828213
"63","Dibenzo(a,h)anthracene sediment  (ug/Kg)","A",26.6,79,58,21,6.54,73000,0.1,530,6377.89595067305,1428.0158959896,3579.03622518273,9176.75567616336,14.8000000000029,190,9100,23000,12692.4829145727,NA,NA,NA,NA,NA,NA,0.962173586189857,8.23246353103269e-05,21.5140095749924,3,"reject Ho",0.144041619704535
"64","Dibenzo(a,h)anthracene water  (ug/L)","C",86.1,634,88,546,0.005,5.3,0.003,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00139776015530167
"65","Dibutyl phthalate sediment  (ug/Kg)","B",71.9,57,16,41,16,2070,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.788859972013,8.54372269601193,15.8432174968581,50.6322225415387,318.8,382.277644055365,0.96324265422969,NA,NA,NA,"do not reject Ho",0.329997651654087
"66","Dibutyl phthalate water  (ug/L)","B",68.2,633,201,432,0.024,5.08,0.023,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191877985717303,0.0533498853493401,0.112774892207761,0.248839823274588,0.413876555277401,0.282242141105881,0.980422312301145,NA,NA,NA,"reject Ho",0.0828947156816795
"67","Dichlobenil sediment  (ug/Kg)","B",60,15,6,9,17,100,0.1,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972871075656439,NA,NA,NA,"do not reject Ho",0.0186029299011358
"68","Dichlobenil water  (ug/L)","B",64.2,611,219,392,0.012,1.3,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0589638696803708,0.0093740652708618,0.024,0.0505,0.118,0.123119172570211,0.989753489795799,NA,NA,NA,"do not reject Ho",0.0702370827932643
"69","Diesel Fuel sediment  (ug/Kg)","A",0,22,22,0,430000,6700000,NA,NA,2440000,388338.117503927,1678871.27586822,3201128.72413178,1e+06,2e+06,3500000,4400000,1821467.22648058,NA,NA,NA,NA,NA,NA,0.985264444333509,NA,NA,NA,"do not reject Ho",0.389114214388003
"70","Diesel Fuel water  (ug/L)","B",53.2,77,36,41,100,4900,100,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.969247108783,42.3728868600507,103.321008499345,320,654,626.521484542637,0.985248627508177,NA,NA,NA,"do not reject Ho",0.0833881027804025
"71","Diesel Range Organics sediment  (ug/Kg)","A",25,12,9,3,27000,510000,50000,5e+05,140617.283950617,40577.0560831668,61087.7154289484,220146.852472286,41000,120000,190000,220000,140563.045515233,NA,NA,NA,NA,NA,NA,0.99021794276263,NA,NA,NA,"do not reject Ho",0.282312828319082
"72","Diesel Range Organics water  (ug/L)","A",42.5,487,280,207,13,4900,30,570,348.934739063962,24.3539724767524,301.201830129048,396.667647998877,28,130,450,960,537.445327469713,NA,NA,NA,NA,NA,NA,0.975313256269777,4.98988719395383e-14,65.0106076534831,3,"reject Ho",2.36450492560021e-05
"73","Diethyl phthalate sediment  (ug/Kg)","C",94.6,56,3,53,81,123,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288388115441725
"74","Diethyl phthalate water  (ug/L)","B",69.4,634,194,440,0.026,8.9,0.024,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214907896212946,0.0703715852835625,0.132501190621323,0.24,0.420117852447187,0.425946757131019,0.990068351934373,NA,NA,NA,"do not reject Ho",0.000307472547520563
"75","Dimethyl phthalate sediment  (ug/Kg)","C",80.4,56,11,45,28,628,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366182928099865
"76","Dimethyl phthalate water  (ug/L)","C",85.2,634,94,540,0.025,2.8,0.021,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00122828975039431
"77","Ethylbenzene water  (ug/L)","C",100,120,0,120,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"78","Fecal coliform water  (cfu/100mL)","A",6.6,560,523,37,1,1100000,1,4,4778.15215014582,2008.63480119368,841.300281712432,8715.00401857921,50,350,1700,5400,47532.974955889,NA,NA,NA,NA,NA,NA,0.986252367922842,1.9098364117627e-14,66.9600879718206,3,"reject Ho",4.14888963630014e-07
"79","Fines sediment  (%)","A",0,73,73,0,3.5,178,NA,NA,43.275205479452,4.69538495166826,34.0724200806309,52.4779908782732,17.6,29.4,58.73,86.9,40.1173866127611,NA,NA,NA,NA,NA,NA,0.990441085257702,0.176943062625631,4.93069297804318,3,"do not reject Ho",0.613489170345317
"80","Fluoranthene sediment  (ug/Kg)","A",6.3,79,74,5,1.02,590000,1,500,56948.9823028237,13252.4004742256,30974.75466464,82923.2099410074,270,1900,67000,220000,117789.911911042,NA,NA,NA,NA,NA,NA,0.972656524122477,3.05128596210791e-05,23.5836661768535,3,"reject Ho",0.0376728641761667
"81","Fluoranthene water  (ug/L)","A",40.9,633,374,259,0.007,33,0.005,1.1,0.482382916338767,0.103247846262857,0.280020856182239,0.684744976495296,0.017000000000003,0.0390000000000015,0.151000000000003,0.440000000000005,2.59766328471618,NA,NA,NA,NA,NA,NA,0.971861020896045,3.35855390520983e-32,149.511460515439,3,"reject Ho",0.0471929269539271
