"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"40","BTEX water  (ug/L)","C",97.5,120,3,117,1.1,6.4,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Butyl benzyl phthalate sediment  (ug/Kg)","A",43.9,57,32,25,21.5,60000,1,1300,1831.5191503111,1087.67990755099,-300.294295196697,3963.3325958189,96,8211.80322058058,0.0209284635926988,9.7381285799612,3,0.988236293155219,"do not reject Ho",NA,NA,NA,NA,NA,NA
"42","Butyl benzyl phthalate water  (ug/L)","B",77.4,633,143,490,0.022,2.82,0.018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98336526993374,"reject Ho",0.179360862081819,0.0117754251728025,0.15987089421887,0.201226864989513,0.0928899677394683,0.29626370660979
"43","Cadmium sediment  (ug/Kg)","A",10,80,72,8,0.781,4900,2.5,500,948.058011862459,97.1164565021132,757.713254812166,1138.40276891275,819.000000000001,868.635993890506,8.00897238650844e-06,26.362200801645,3,0.866294920356785,"reject Ho",NA,NA,NA,NA,NA,NA
"44","Cadmium water  (ug/L)","A",26.6,639,469,170,0.011,10.1,0.025,1,0.247012499411771,0.0298310147631809,0.188544784853653,0.305480213969888,0.114000000000001,0.754081794841193,2.2595569252253e-37,173.476851707442,3,0.980955815182001,"reject Ho",NA,NA,NA,NA,NA,NA
"45","Cadmium water dissolved (ug/L)","A",47.6,635,333,302,0.003,1.85,0.007,0.4,0.0610584708461249,0.00452728605499953,0.0521851532306154,0.0699317884616344,0.0390000000000001,0.114084015445235,1.14838716012233e-32,151.671924423842,3,0.990118930467807,"do not reject Ho",NA,NA,NA,NA,NA,NA
"46","Calcium water  (ug/L)","A",0,353,353,0,620,357000,NA,NA,8947.13031161475,1109.15839223175,6773.21980969017,11121.0408135393,5710,20839.1942187676,1.02669503432397e-69,323.036398012187,3,0.990062028242735,"do not reject Ho",NA,NA,NA,NA,NA,NA
"47","Calcium water dissolved (ug/L)","A",0,2,2,0,1640,2500,NA,NA,2070,430,1227.21548664778,2912.78451335222,NA,608.111831820431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Chloride water  (ug/L)","A",2,551,540,11,55,1080000,100,250,12152.9644003909,2628.44563230375,7001.30562575394,17304.6231750278,3300,61698.5272881706,6.32425501504744e-16,73.8712238046823,3,0.981950727606194,"reject Ho",NA,NA,NA,NA,NA,NA
"49","Chlorpyrifos sediment  (ug/Kg)","C",98.1,53,1,52,15,15,0.1,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Chlorpyrifos water  (ug/L)","C",99.8,644,1,643,0.022,0.022,0.006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Chrysene sediment  (ug/Kg)","A",7.6,79,73,6,1.07,280000,1,220,25306.5307172996,5683.33982906633,14167.3893404275,36445.6720941716,1100,50514.6293404147,1.13826336272105e-05,25.6330421369183,3,0.967018952821977,"reject Ho",NA,NA,NA,NA,NA,NA
"52","Chrysene water  (ug/L)","B",54.1,634,291,343,0.003,16,0.003,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995527841944386,"do not reject Ho",0.251670686360869,0.111064316094357,0.183550995362927,0.345071048228942,0.0225576844650916,2.79652802314363
"53","Conductivity water  (uS/cm)","A",0.2,637,636,1,5.3,4020,18,18,131.615263121972,13.5496836348416,105.058371195771,158.172155048173,72.3000000000002,341.978553782157,2.52225536944807e-55,256.537496435611,3,0.982796687722041,"reject Ho",NA,NA,NA,NA,NA,NA
"54","Copper sediment  (ug/Kg)","A",0,78,78,0,156,1260000,NA,NA,151801.743589743,24203.6333095762,104363.49400796,199239.993171527,81000,213760.701486464,1.44468502605299e-07,34.6495169088263,3,0.956841457340833,"reject Ho",NA,NA,NA,NA,NA,NA
"55","Copper water  (ug/L)","A",1.4,652,643,9,0.38,218,0.1,0.5,17.0153374233129,0.794141710394016,15.4588482723196,18.5718265743062,10.4,20.27784526606,7.10826426857124e-60,277.569349955293,3,0.996635359873424,"do not reject Ho",NA,NA,NA,NA,NA,NA
"56","Copper water dissolved (ug/L)","A",2.8,602,585,17,0.62,122,0.1,12.5,6.44017765831903,0.40111272592274,5.65401116176977,7.22634415486828,3.89999999999998,9.84157681350388,8.82385636485562e-35,161.471054756873,3,0.990222555102706,"do not reject Ho",NA,NA,NA,NA,NA,NA
