"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"61","Diazinon sediment  (ug/Kg)","FALSE",51,"Diazinon sediment  (ug/Kg)","FALSE",51,"Diazinon sediment  (ug/Kg)","FALSE",51
"62","Diazinon water  (ug/L)","FALSE",642,"Diazinon water  (ug/L)","FALSE",642,"Diazinon water  (ug/L)","FALSE",638
"63","Dibenzo(a,h)anthracene sediment  (ug/Kg)","FALSE",21,"Dibenzo(a,h)anthracene sediment  (ug/Kg)","FALSE",21,"Dibenzo(a,h)anthracene sediment  (ug/Kg)","FALSE",21
"64","Dibenzo(a,h)anthracene water  (ug/L)","FALSE",546,"Dibenzo(a,h)anthracene water  (ug/L)","FALSE",546,"Dibenzo(a,h)anthracene water  (ug/L)","FALSE",546
"65","Dibutyl phthalate sediment  (ug/Kg)","FALSE",41,"Dibutyl phthalate sediment  (ug/Kg)","FALSE",41,"Dibutyl phthalate sediment  (ug/Kg)","FALSE",41
"66","Dibutyl phthalate water  (ug/L)","FALSE",432,"Dibutyl phthalate water  (ug/L)","FALSE",432,"Dibutyl phthalate water  (ug/L)","FALSE",633
"67","Dichlobenil sediment  (ug/Kg)","FALSE",9,"Dichlobenil sediment  (ug/Kg)","FALSE",9,"Dichlobenil sediment  (ug/Kg)","FALSE",9
"68","Dichlobenil water  (ug/L)","FALSE",392,"Dichlobenil water  (ug/L)","FALSE",392,"Dichlobenil water  (ug/L)","FALSE",392
"69","Diesel Fuel sediment  (ug/Kg)","FALSE",0,"Diesel Fuel sediment  (ug/Kg)","FALSE",0,"Diesel Fuel sediment  (ug/Kg)","FALSE",0
"70","Diesel Fuel water  (ug/L)","FALSE",41,"Diesel Fuel water  (ug/L)","FALSE",41,"Diesel Fuel water  (ug/L)","FALSE",41
"71","Diesel Range Organics sediment  (ug/Kg)","FALSE",3,"Diesel Range Organics sediment  (ug/Kg)","FALSE",3,"Diesel Range Organics sediment  (ug/Kg)","FALSE",3
"72","Diesel Range Organics water  (ug/L)","FALSE",208,"Diesel Range Organics water  (ug/L)","FALSE",208,"Diesel Range Organics water  (ug/L)","FALSE",208
"73","Diethyl phthalate sediment  (ug/Kg)","FALSE",53,"Diethyl phthalate sediment  (ug/Kg)","FALSE",53,"Diethyl phthalate sediment  (ug/Kg)","FALSE",53
"74","Diethyl phthalate water  (ug/L)","FALSE",440,"Diethyl phthalate water  (ug/L)","FALSE",440,"Diethyl phthalate water  (ug/L)","FALSE",634
"75","Dimethyl phthalate sediment  (ug/Kg)","FALSE",45,"Dimethyl phthalate sediment  (ug/Kg)","FALSE",45,"Dimethyl phthalate sediment  (ug/Kg)","FALSE",45
"76","Dimethyl phthalate water  (ug/L)","FALSE",540,"Dimethyl phthalate water  (ug/L)","FALSE",540,"Dimethyl phthalate water  (ug/L)","FALSE",634
"77","Ethylbenzene water  (ug/L)","FALSE",121,"Ethylbenzene water  (ug/L)","FALSE",121,"Ethylbenzene water  (ug/L)","FALSE",121
"78","Fecal coliform water  (cfu/100mL)","FALSE",38,"Fecal coliform water  (cfu/100mL)","FALSE",38,"Fecal coliform water  (cfu/100mL)","FALSE",38
"79","Fines sediment  (%)","FALSE",0,"Fines sediment  (%)","FALSE",0,"Fines sediment  (%)","FALSE",0
"80","Fluoranthene sediment  (ug/Kg)","FALSE",5,"Fluoranthene sediment  (ug/Kg)","FALSE",5,"Fluoranthene sediment  (ug/Kg)","FALSE",5
"81","Fluoranthene water  (ug/L)","FALSE",259,"Fluoranthene water  (ug/L)","FALSE",259,"Fluoranthene water  (ug/L)","FALSE",633
"82","Fluorene sediment  (ug/Kg)","FALSE",32,"Fluorene sediment  (ug/Kg)","FALSE",32,"Fluorene sediment  (ug/Kg)","FALSE",32
"83","Fluorene water  (ug/L)","FALSE",554,"Fluorene water  (ug/L)","FALSE",554,"Fluorene water  (ug/L)","FALSE",634
"84","Gasoline Range Organics water  (ug/L)","FALSE",441,"Gasoline Range Organics water  (ug/L)","FALSE",441,"Gasoline Range Organics water  (ug/L)","FALSE",441
"85","Gravel sediment  (%)","FALSE",5,"Gravel sediment  (%)","FALSE",5,"Gravel sediment  (%)","FALSE",5
"86","Hardness as CaCO3 water  (ug/L)","FALSE",2,"Hardness as CaCO3 water  (ug/L)","FALSE",2,"Hardness as CaCO3 water  (ug/L)","FALSE",2
"87","Heavy Fuel Oil sediment  (ug/Kg)","FALSE",0,"Heavy Fuel Oil sediment  (ug/Kg)","FALSE",0,"Heavy Fuel Oil sediment  (ug/Kg)","FALSE",0
"88","Heavy Fuel Oil water  (ug/L)","FALSE",65,"Heavy Fuel Oil water  (ug/L)","FALSE",65,"Heavy Fuel Oil water  (ug/L)","FALSE",65
"89","HPAH sediment  (ug/Kg)","FALSE",3,"HPAH sediment  (ug/Kg)","FALSE",3,"HPAH sediment  (ug/Kg)","FALSE",3
"90","HPAH water  (ug/L)","FALSE",215,"HPAH water  (ug/L)","FALSE",215,"HPAH water  (ug/L)","FALSE",215
"91","Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)","FALSE",11,"Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)","FALSE",11,"Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)","FALSE",11
"92","Indeno(1,2,3-cd)pyrene water  (ug/L)","FALSE",452,"Indeno(1,2,3-cd)pyrene water  (ug/L)","FALSE",452,"Indeno(1,2,3-cd)pyrene water  (ug/L)","FALSE",452
"93","Lead sediment  (ug/Kg)","FALSE",2,"Lead sediment  (ug/Kg)","FALSE",2,"Lead sediment  (ug/Kg)","FALSE",2
"94","Lead water  (ug/L)","FALSE",403,"Lead water  (ug/L)","FALSE",73,"Lead water  (ug/L)","FALSE",6
"95","Lead water dissolved (ug/L)","FALSE",625,"Lead water dissolved (ug/L)","FALSE",454,"Lead water dissolved (ug/L)","FALSE",122
"96","LPAH sediment  (ug/Kg)","FALSE",5,"LPAH sediment  (ug/Kg)","FALSE",5,"LPAH sediment  (ug/Kg)","FALSE",5
"97","LPAH water  (ug/L)","FALSE",260,"LPAH water  (ug/L)","FALSE",260,"LPAH water  (ug/L)","FALSE",260
"98","Lube Oil water  (ug/L)","FALSE",52,"Lube Oil water  (ug/L)","FALSE",52,"Lube Oil water  (ug/L)","FALSE",52
"99","Magnesium water  (ug/L)","FALSE",0,"Magnesium water  (ug/L)","FALSE",0,"Magnesium water  (ug/L)","FALSE",0
"100","Magnesium water dissolved (ug/L)","FALSE",0,"Magnesium water dissolved (ug/L)","FALSE",0,"Magnesium water dissolved (ug/L)","FALSE",0
"101","Malathion sediment  (ug/Kg)","FALSE",52,"Malathion sediment  (ug/Kg)","FALSE",52,"Malathion sediment  (ug/Kg)","FALSE",52
"102","Malathion water  (ug/L)","FALSE",636,"Malathion water  (ug/L)","FALSE",636,"Malathion water  (ug/L)","FALSE",636
"103","Mecoprop sediment  (ug/Kg)","FALSE",11,"Mecoprop sediment  (ug/Kg)","FALSE",11,"Mecoprop sediment  (ug/Kg)","FALSE",11
"104","Mecoprop water  (ug/L)","FALSE",552,"Mecoprop water  (ug/L)","FALSE",552,"Mecoprop water  (ug/L)","FALSE",552
"105","Mercury sediment  (ug/Kg)","FALSE",12,"Mercury sediment  (ug/Kg)","FALSE",12,"Mercury sediment  (ug/Kg)","FALSE",12
"106","Mercury water  (ug/L)","FALSE",455,"Mercury water  (ug/L)","FALSE",376,"Mercury water  (ug/L)","FALSE",446
"107","Mercury water dissolved (ug/L)","FALSE",444,"Mercury water dissolved (ug/L)","FALSE",429,"Mercury water dissolved (ug/L)","FALSE",405
"108","Motor Oil sediment  (ug/Kg)","FALSE",0,"Motor Oil sediment  (ug/Kg)","FALSE",0,"Motor Oil sediment  (ug/Kg)","FALSE",0
"109","Motor Oil water  (ug/L)","FALSE",19,"Motor Oil water  (ug/L)","FALSE",19,"Motor Oil water  (ug/L)","FALSE",19
"110","Naphthalene sediment  (ug/Kg)","FALSE",32,"Naphthalene sediment  (ug/Kg)","FALSE",32,"Naphthalene sediment  (ug/Kg)","FALSE",32
"111","Naphthalene water  (ug/L)","FALSE",395,"Naphthalene water  (ug/L)","FALSE",395,"Naphthalene water  (ug/L)","FALSE",395
"112","Nitrite-Nitrate water dissolved (ug/L)","FALSE",23,"Nitrite-Nitrate water dissolved (ug/L)","FALSE",23,"Nitrite-Nitrate water dissolved (ug/L)","FALSE",23
"113","o-Cresol sediment  (ug/Kg)","FALSE",35,"o-Cresol sediment  (ug/Kg)","FALSE",35,"o-Cresol sediment  (ug/Kg)","FALSE",35
"114","Oil and grease water  (ug/L)","FALSE",33,"Oil and grease water  (ug/L)","FALSE",33,"Oil and grease water  (ug/L)","FALSE",33
"115","Ortho-phosphate water dissolved (ug/L)","FALSE",46,"Ortho-phosphate water dissolved (ug/L)","FALSE",46,"Ortho-phosphate water dissolved (ug/L)","FALSE",46
"116","p-Cresol sediment  (ug/Kg)","FALSE",10,"p-Cresol sediment  (ug/Kg)","FALSE",10,"p-Cresol sediment  (ug/Kg)","FALSE",10
"117","p-Cresol water  (ug/L)","FALSE",24,"p-Cresol water  (ug/L)","FALSE",24,"p-Cresol water  (ug/L)","FALSE",24
"118","PCB-aroclor 1016 sediment  (ug/Kg)","FALSE",33,"PCB-aroclor 1016 sediment  (ug/Kg)","FALSE",33,"PCB-aroclor 1016 sediment  (ug/Kg)","FALSE",33
"119","PCB-aroclor 1016 water  (ug/L)","FALSE",27,"PCB-aroclor 1016 water  (ug/L)","FALSE",27,"PCB-aroclor 1016 water  (ug/L)","FALSE",27
"120","PCB-aroclor 1221 sediment  (ug/Kg)","FALSE",33,"PCB-aroclor 1221 sediment  (ug/Kg)","FALSE",33,"PCB-aroclor 1221 sediment  (ug/Kg)","FALSE",33
"121","PCB-aroclor 1221 water  (ug/L)","FALSE",27,"PCB-aroclor 1221 water  (ug/L)","FALSE",27,"PCB-aroclor 1221 water  (ug/L)","FALSE",27
"122","PCB-aroclor 1232 sediment  (ug/Kg)","FALSE",33,"PCB-aroclor 1232 sediment  (ug/Kg)","FALSE",33,"PCB-aroclor 1232 sediment  (ug/Kg)","FALSE",33
"123","PCB-aroclor 1232 water  (ug/L)","FALSE",27,"PCB-aroclor 1232 water  (ug/L)","FALSE",27,"PCB-aroclor 1232 water  (ug/L)","FALSE",27
