"","parameter","location","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"141","Cadmium","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,2.600000e-07,1.102500e-06,2.660000e-06,9.675000e-06,4.327180e-05
"142","Cadmium dissolved","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,2.000000e-07,9.212500e-07,1.742500e-06,3.350000e-06,4.950000e-06
"143","Calcium","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,1.373600e-02,3.372600e-02,7.083400e-02,1.833840e-01,3.435300e-01
"144","Chloride","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.054000e-03,1.190520e-02,2.057780e-02,4.020145e-02,9.528800e-02
"145","Chlorpyrifos","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.280000e-07,6.032000e-07,1.241600e-06,2.144000e-06,3.168000e-06
"146","Chrysene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.146800e-07,2.072700e-07,8.663400e-07,5.296305e-06,3.080740e-05
"147","Copper","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,2.764000e-05,8.882500e-05,1.679480e-04,8.207000e-04,2.722500e-03
"148","Copper dissolved","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,1.224000e-05,3.366000e-05,6.107200e-05,1.036800e-04,3.381200e-04
"149","CPAH","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.654400e-07,5.685500e-07,1.857360e-06,2.453903e-05,1.101870e-04
"150","Di-N-Octyl Phthalate","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,9.600000e-08,5.292000e-07,1.351960e-06,2.230700e-06,2.393280e-04
"151","Diazinon","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.640000e-07,7.728500e-07,1.590800e-06,2.747000e-06,4.059000e-06
"152","Dibenzo(a,h)anthracene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.654400e-07,2.520900e-07,4.847400e-07,8.417700e-07,3.452600e-06
"153","Dibutyl phthalate","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,2.516000e-07,8.301950e-07,1.260380e-06,3.608750e-06,1.134900e-05
"154","Dichlobenil","KICHDRS8D_OUT",0.000000e+00,1.300000e+01,1.880000e-07,1.582700e-06,2.077400e-06,4.060800e-06,9.163000e-06
"155","Diesel Range Organics","KICHDRS8D_OUT",1.600000e+01,3.000000e+01,1.064000e-03,3.790500e-03,6.621500e-03,1.455400e-02,1.881000e-02
"156","Diethyl phthalate","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,5.984000e-07,1.574050e-06,4.143590e-06,6.715750e-06,2.168640e-05
"157","Dimethyl phthalate","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,9.600000e-08,4.524000e-07,9.499000e-07,1.723200e-06,2.376000e-06
"158","Fluoranthene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.776600e-07,5.344650e-07,1.333130e-06,1.228680e-05,5.215600e-05
"159","Fluorene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,1.771900e-07,3.966800e-07,6.749200e-07,9.306000e-07
"160","Gasoline Range Organics","KICHDRS8D_OUT",1.600000e+01,3.000000e+01,1.220000e-03,4.687500e-03,6.945000e-03,1.835000e-02,2.475000e-02
"161","Hardness as CaCO3","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,4.712400e-02,1.002540e-01,2.476320e-01,6.961800e-01,1.722600e+00
"162","HPAH","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,4.928000e-07,2.392515e-06,7.201210e-06,4.811501e-05,2.506582e-04
"163","Indeno(1,2,3-cd)pyrene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.654400e-07,3.191750e-07,9.523300e-07,3.166003e-06,1.701700e-05
"164","Lead","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,1.164000e-05,4.099200e-05,9.856000e-05,1.157760e-03,3.942640e-03
"165","Lead dissolved","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,7.280000e-07,2.780000e-06,6.620000e-06,1.237600e-05,8.808600e-05
"166","LPAH","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,6.070425e-07,1.742205e-06,8.987692e-06,2.640330e-05
"167","Lube Oil","KICHDRS8D_OUT",1.600000e+01,3.000000e+01,1.064000e-03,3.790500e-03,6.621500e-03,1.455400e-02,2.158200e-02
"168","Magnesium","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,2.952400e-03,5.610000e-03,1.375980e-02,4.781600e-02,2.098800e-01
"169","Malathion","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.800000e-07,8.482500e-07,1.746000e-06,3.015000e-06,4.455000e-06
"170","Mecoprop","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,2.000000e-06,9.378250e-06,1.940000e-05,3.479650e-05,4.851000e-05
"171","Mercury","KICHDRS8D_OUT",0.000000e+00,8.000000e+00,8.800000e-07,9.425000e-07,1.173900e-06,3.573750e-06,4.898000e-06
"172","Mercury dissolved","KICHDRS8D_OUT",0.000000e+00,8.000000e+00,2.800000e-07,9.212500e-07,1.050000e-06,3.470000e-06,4.365000e-06
"173","Naphthalene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,2.897300e-07,6.426250e-07,1.522605e-06,4.087660e-06
"174","Nitrite-Nitrate","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,2.108000e-04,9.991800e-04,2.475000e-03,4.582800e-03,3.649800e-02
"175","Ortho-phosphate dissolved","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,5.963600e-05,4.319700e-04,6.107200e-04,2.890800e-03,8.848000e-03
