"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PPCC_test","wilcoxon_pvalue"
"21","dry   Cadmium dissolved","A",41.3,121,71,50,1.645e-07,0.0063737973894,1e-07,0.0059185261473,0.000163841863618886,6.15389950149475e-05,4.32276497447987e-05,0.000284456077492973,9.10419999999856e-07,3.87110477700035e-06,2.99253075072003e-05,0.000255071375818001,0.000676928945164422,0.010123821233171,11.3182378407736,3,NA,NA,NA,NA,NA,NA,0.991119396412855,NA,NA
"22","dry   Calcium","A",0,73,73,0,0.00598,84.985512832,NA,NA,7.52511809169988,1.90508131477021,3.79122732713005,11.2590088562697,0.130666488912993,0.534485263359997,4.0001444352,27.8052853275,16.2770218885311,2.48836293015309e-06,28.7821251077826,3,NA,NA,NA,NA,NA,NA,0.987991112457876,NA,NA
"23","dry   Calcium dissolved","A",0,2,2,0,0.075973266475,0.0889182746132,NA,NA,0.0824457705441,0.0064725040691,0.069759895678875,0.0951316454093249,0.075973266475,NA,NA,NA,0.00915350303703627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","dry   Chloride","A",4.7,107,102,5,0.001624,286.820882523,0.007928704,0.2690096,12.9110820518965,4.31151343337513,4.46067100362059,21.3614931001724,0.0770216959999743,0.556837978909982,3.58207519999996,16.091304768,44.5986417418808,0.0736753769288748,6.94488501125468,3,NA,NA,NA,NA,NA,NA,0.996144901051412,NA,NA
"25","dry   Chlorpyrifos","C",99.2,122,1,121,1.28599614528e-05,1.28599614528e-05,6.8e-08,0.0022763562105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","dry   Chrysene","B",64.8,125,44,81,1.092e-07,0.0011910895584,1.1468e-07,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.99212603276451e-05,6.13874571648944e-07,1.46971892739228e-06,1.407998086935e-05,0.00011810251447704,0.000157299035410102,0.975639247899748,NA,NA
"27","dry   Copper","A",2.5,122,119,3,1.196e-05,1.173082233811,6.796032e-06,7.928704e-06,0.0596719200492199,0.0158321336217182,0.0286415083522265,0.0907023317462132,0.000646982246400141,0.0029765934611401,0.01868891526752,0.1533788533376,0.174871631524226,0.0123323383597261,10.890609625494,3,NA,NA,NA,NA,NA,NA,0.993783949287427,NA,NA
"28","dry   Copper dissolved","A",2.7,111,108,3,7.8e-06,0.415814401118,6.796032e-06,7.928704e-06,0.02279877850694,0.00582001641925603,0.0113917559357664,0.0342058010781136,0.000408625304880061,0.00122017343224701,0.0099190380700801,0.0605411357705,0.0613176778291993,0.0150277127305177,10.4610132006417,3,NA,NA,NA,NA,NA,NA,0.991560624934983,NA,NA
"29","dry   CPAH","B",59.2,125,51,74,4.662e-07,0.00435598467072,3.29e-07,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00020620160671269,8.32754248825594e-07,2.76966891263744e-06,4.6960439536e-05,0.000618308492489,0.00063180722311689,0.973829912704162,NA,NA
"30","dry   Di-N-Octyl Phthalate","C",91.2,125,11,114,4.7092e-06,0.0035594897208,5e-08,0.01701556512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
