"","parameter","method","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"92","Copper dissolved","COMP-CT-CV",0.000000e+00,3.200000e+01,4.197431e-04,1.469982e-03,2.909829e-03,3.919523e-03,9.919038e-03
"93","Di-N-Octyl Phthalate","COMP-CT-CV",0.000000e+00,3.200000e+01,1.900489e-05,4.674642e-05,8.416288e-05,1.756704e-04,7.921528e-04
"94","Diazinon","COMP-CT-CV",0.000000e+00,3.200000e+01,1.321828e-06,4.103812e-06,7.298938e-06,1.394197e-05,5.048602e-05
"95","Dibenzo(a,h)anthracene","COMP-CT-CV",0.000000e+00,3.200000e+01,9.049950e-07,2.150583e-06,3.601031e-06,6.595691e-06,1.682867e-05
"96","Dibutyl phthalate","COMP-CT-CV",0.000000e+00,3.200000e+01,9.019738e-05,1.573294e-04,2.442471e-04,4.025152e-04,8.254220e-04
"97","Dichlobenil","COMP-CT-CV",0.000000e+00,3.100000e+01,4.524975e-06,1.318761e-05,1.880802e-05,2.851219e-05,8.509482e-05
"98","Diethyl phthalate","COMP-CT-CV",0.000000e+00,3.200000e+01,4.071231e-05,1.185575e-04,1.426770e-04,2.584694e-04,5.218517e-04
"99","Dimethyl phthalate","COMP-CT-CV",0.000000e+00,3.200000e+01,1.079720e-05,5.407967e-05,9.412726e-05,1.799460e-04,5.507632e-04
"100","Fluoranthene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.323527e-06,5.271172e-06,1.197899e-05,2.668505e-05,1.202048e-04
"101","Fluorene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.044890e-06,3.585607e-06,6.255040e-06,8.495040e-06,2.644506e-05
"102","Hardness as CaCO3","COMP-CT-CV",0.000000e+00,3.300000e+01,1.164121e+01,2.327046e+01,3.104510e+01,4.952070e+01,1.075472e+02
"103","Indeno(1,2,3-cd)pyrene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.057463e-06,2.457190e-06,3.908392e-06,6.595691e-06,2.163687e-05
"104","Lead","COMP-CT-CV",0.000000e+00,3.300000e+01,1.006876e-03,1.946531e-03,4.939486e-03,9.532767e-03,2.235910e-02
"105","Lead dissolved","COMP-CT-CV",0.000000e+00,3.300000e+01,2.789833e-05,1.343990e-04,1.852202e-04,2.847778e-04,3.853350e-03
