"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"68","PCB-aroclor 1254 water  (ug/L)","A",48.1,27,14,13,4.0499423594e-06,0.00050388046592,2.477153664e-07,1.926816656e-05,5.61112309525161e-05,2.17103768050202e-05,1.35596743238828e-05,9.86627875811495e-05,4.04994235940004e-06,0.00011281042703328,2.06822529102979e-08,35.3879797020995,2,0.983480957104468,NA,NA,NA,NA,NA,NA,NA
"69","PCB-aroclor 1260 water  (ug/L)","B",74.1,27,7,20,2.2035680689e-06,0.00033012858112,2.477153664e-07,7.835824896e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988537727048049,NA,NA,NA,NA,NA,NA,NA
"70","Pentachlorophenol water  (ug/L)","B",74.9,573,144,429,5.7835e-07,0.019733131285,2e-07,0.126793229238,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995940963337958,NA,0.000407037342265773,0.00244075358537602,0.000216808304601736,0.000764174593326242,2.83567674540367e-06,0.0584253398019502
"71","Phenanthrene water  (ug/L)","A",47.3,615,324,291,8.5e-08,0.00473786602685,3.76e-08,0.002338463641,0.000129823989183747,1.74714794479462e-05,9.55805187091407e-05,0.000164067459658353,6.70286406339975e-06,0.00043327860017719,4.24860924219672e-10,46.5899446141112,3,0.995037183646693,NA,NA,NA,NA,NA,NA,NA
"72","Phenol water  (ug/L)","B",69.2,26,8,18,3.7632e-06,4.41612e-05,1e-07,1.91666e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.930742575996845,NA,NA,NA,NA,NA,NA,NA
"73","Prometon water  (ug/L)","C",96.1,568,22,546,2.14496361984e-06,0.00377745545664,5.16e-08,0.0155046031525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Pyrene water  (ug/L)","A",35.8,615,395,220,2.004e-07,0.00514541174784,1.2502e-07,0.002338463641,0.000207412787516213,2.27427366680454e-05,0.000162837842736965,0.00025198773229546,2.00211102699983e-05,0.000564001528152641,1.74260272878257e-10,48.4091528292584,3,0.993505828981448,NA,NA,NA,NA,NA,NA,NA
"75","Surfactants water  (ug/L)","A",36.2,589,376,213,0.00011,9.649629206,8.54530232e-05,1.046475661,0.255240730568738,0.0372840765095747,0.182165283413136,0.32831617772434,0.00525230000000043,0.9048592657039,2.45578335444918e-10,47.7090239819803,3,0.992018004000119,NA,NA,NA,NA,NA,NA,NA
"76","Toluene water  (ug/L)","C",96.6,88,3,85,0.00010877049216,0.00096598798848,9.91088e-06,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Total Benzofluoranthenes water  (ug/L)","B",61.7,619,237,382,1.998e-07,0.00613491400704,1.2502e-07,0.004676927282,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984146054493652,NA,0.000705205252527612,0.0051132582809349,0.000374981535087197,0.0013262371654564,3.90914112486181e-06,0.127216386300009
